日期,5均线,10均线,20均线,50均线,150均线
2009-04-03,1.233,1.114,0.985,1.007,1.24
2009-04-10,1.325,1.186,1.035,1.027,1.243
2009-04-17,1.4,1.252,1.084,1.047,1.247
2009-04-24,1.443,1.303,1.126,1.066,1.251
2009-04-30,1.472,1.344,1.165,1.085,1.255
2009-05-08,1.472,1.367,1.194,1.1,1.258
2009-05-15,1.508,1.406,1.23,1.119,1.262
2009-05-22,1.522,1.432,1.261,1.135,1.266
2009-05-27,1.518,1.446,1.285,1.15,1.269
2009-06-05,1.495,1.447,1.3,1.162,1.271
2009-06-12,1.487,1.451,1.317,1.174,1.274
2009-06-19,1.478,1.453,1.33,1.185,1.276
2009-06-26,1.479,1.458,1.344,1.197,1.279
2009-07-03,1.479,1.462,1.357,1.208,1.282
2009-07-10,1.566,1.512,1.394,1.229,1.288
2009-07-17,2.077,1.801,1.556,1.302,1.312
2009-07-24,2.375,2.014,1.691,1.368,1.334
2009-07-31,2.763,2.291,1.867,1.453,1.363
2009-08-07,3.089,2.555,2.045,1.542,1.394
2009-08-14,3.159,2.69,2.165,1.611,1.42
2009-08-21,3.106,2.746,2.244,1.666,1.441
2009-08-28,2.977,2.742,2.29,1.707,1.458
2009-09-04,2.902,2.743,2.334,1.748,1.475
2009-09-11,2.931,2.788,2.396,1.797,1.495
2009-09-18,3.001,2.852,2.467,1.849,1.517
2009-09-25,2.977,2.866,2.511,1.892,1.535
2009-09-30,2.865,2.825,2.523,1.921,1.55
2009-10-09,2.913,2.859,2.57,1.964,1.569
2009-10-16,2.962,2.895,2.616,2.007,1.589
2009-10-23,2.981,2.918,2.655,2.047,1.608
2009-10-30,2.934,2.904,2.672,2.078,1.624
2009-11-06,2.973,2.93,2.708,2.116,1.643
2009-11-13,2.992,2.948,2.739,2.152,1.661
2009-11-20,3.025,2.974,2.772,2.188,1.68
2009-11-27,2.963,2.95,2.779,2.214,1.696
2009-12-04,2.955,2.948,2.794,2.242,1.712
2009-12-11,3.13,3.045,2.86,2.291,1.736
2009-12-18,3.06,3.022,2.865,2.316,1.751
2009-12-25,3.05,3.024,2.881,2.344,1.768
2009-12-31,3.09,3.05,2.909,2.376,1.787
2010-01-08,3.15,3.09,2.943,2.411,1.807
2010-01-15,3.293,3.179,3.004,2.457,1.83
2010-01-22,3.322,3.216,3.039,2.493,1.851
2010-01-29,3.301,3.224,3.06,2.523,1.869
2010-02-05,3.171,3.167,3.046,2.538,1.883
2010-02-12,3.084,3.12,3.033,2.553,1.897
2010-02-26,3.109,3.127,3.045,2.577,1.913
2010-03-05,3.053,3.093,3.035,2.591,1.927
2010-03-12,3.032,3.074,3.031,2.607,1.941
2010-03-19,3.095,3.101,3.049,2.631,1.958
2010-03-26,3.223,3.17,3.09,2.664,1.978
2010-04-02,3.389,3.27,3.15,2.705,2.001
2010-04-09,3.679,3.45,3.256,2.766,2.031
2010-04-16,3.893,3.608,3.357,2.827,2.061
2010-04-23,4.075,3.759,3.46,2.891,2.093
2010-04-30,4.01,3.781,3.5,2.929,2.117
2010-05-07,3.947,3.788,3.531,2.964,2.139
2010-05-14,3.764,3.718,3.518,2.981,2.156
2010-05-21,3.696,3.689,3.522,3.004,2.174
2010-05-28,3.644,3.662,3.524,3.025,2.193
2010-06-04,3.636,3.654,3.533,3.048,2.211
2010-06-11,3.714,3.694,3.565,3.081,2.233
2010-06-18,3.689,3.684,3.572,3.103,2.252
2010-06-25,3.643,3.659,3.57,3.12,2.269
2010-07-02,3.365,3.505,3.498,3.108,2.276
2010-07-09,3.27,3.428,3.458,3.107,2.287
2010-07-16,3.16,3.339,3.409,3.1,2.296
2010-07-23,3.277,3.37,3.418,3.116,2.312
2010-07-30,3.438,3.441,3.451,3.142,2.331
2010-08-06,3.545,3.499,3.48,3.166,2.35
2010-08-13,3.667,3.574,3.521,3.195,2.371
2010-08-20,3.735,3.628,3.554,3.222,2.39
2010-08-27,3.9,3.737,3.619,3.261,2.415
2010-09-03,4.203,3.932,3.732,3.322,2.446
2010-09-10,4.562,4.177,3.88,3.399,2.484
2010-09-17,4.778,4.365,4.006,3.47,2.52
2010-09-21,4.852,4.48,4.101,3.53,2.553
2010-09-30,4.921,4.586,4.192,3.59,2.586
2010-10-08,4.901,4.636,4.256,3.639,2.616
2010-10-15,4.691,4.569,4.257,3.664,2.638
2010-10-22,4.84,4.673,4.341,3.722,2.671
2010-10-29,5.22,4.911,4.497,3.811,2.715
2010-11-05,5.92,5.349,4.766,3.948,2.776
2010-11-12,6.36,5.693,5.002,4.077,2.835
2010-11-19,7.193,6.268,5.369,4.265,2.915
2010-11-26,7.679,6.701,5.682,4.437,2.991
2010-12-03,7.726,6.905,5.885,4.57,3.055
2010-12-10,7.894,7.146,6.109,4.713,3.124
2010-12-17,8.226,7.463,6.374,4.877,3.2
2010-12-24,8.071,7.517,6.506,4.99,3.26
2010-12-31,8.104,7.636,6.664,5.115,3.325
2011-01-07,7.973,7.649,6.764,5.216,3.383
2011-01-14,7.755,7.589,6.817,5.299,3.436
2011-01-21,7.29,7.366,6.773,5.341,3.474
2011-01-28,6.867,7.121,6.701,5.367,3.508
2011-02-01,6.718,6.994,6.675,5.408,3.547
2011-02-11,6.685,6.926,6.669,5.456,3.587
2011-02-17,6.753,6.919,6.69,5.512,3.631
2011-02-25,6.799,6.914,6.709,5.566,3.674
2011-03-04,6.753,6.868,6.705,5.609,3.714
2011-03-11,7.128,7.052,6.817,5.698,3.769
2011-03-18,7.232,7.122,6.876,5.766,3.818
2011-03-25,7.222,7.136,6.907,5.823,3.862
2011-04-01,7.131,7.103,6.911,5.867,3.903
2011-04-08,6.897,6.98,6.865,5.889,3.937
2011-04-15,6.808,6.917,6.843,5.918,3.972
2011-04-22,6.812,6.899,6.841,5.953,4.01
2011-04-29,6.728,6.837,6.814,5.977,4.044
2011-05-06,6.789,6.851,6.823,6.014,4.082
2011-05-13,6.649,6.763,6.78,6.028,4.112
2011-05-20,6.446,6.632,6.709,6.028,4.138
2011-05-27,6.117,6.419,6.59,6.006,4.155
2011-06-03,5.872,6.23,6.475,5.981,4.171
2011-06-10,5.778,6.113,6.391,5.966,4.19
2011-06-17,5.668,5.993,6.301,5.946,4.207
2011-06-24,5.659,5.929,6.238,5.934,4.226
2011-07-01,5.776,5.943,6.217,5.937,4.249
2011-07-08,6.047,6.061,6.252,5.962,4.28
2011-07-15,6.258,6.174,6.293,5.991,4.312
2011-07-22,6.225,6.171,6.28,5.997,4.337
2011-07-29,6.077,6.1,6.233,5.989,4.356
2011-08-05,5.978,6.042,6.189,5.981,4.375
2011-08-12,5.782,5.923,6.113,5.957,4.388
2011-08-19,5.601,5.799,6.03,5.929,4.399
2011-08-26,5.571,5.747,5.981,5.913,4.414
2011-09-02,5.467,5.658,5.912,5.887,4.425
2011-09-09,5.355,5.562,5.838,5.857,4.435
2011-09-16,5.283,5.485,5.771,5.829,4.444
2011-09-23,5.165,5.384,5.691,5.794,4.45
2011-09-30,4.847,5.171,5.55,5.732,4.447
2011-10-14,4.861,5.12,5.487,5.699,4.453
2011-10-21,4.948,5.12,5.452,5.676,4.462
2011-10-28,5.085,5.163,5.443,5.664,4.474
2011-11-04,5.357,5.297,5.487,5.673,4.493
2011-11-11,5.451,5.36,5.501,5.672,4.508
2011-11-18,5.514,5.411,5.515,5.671,4.523
2011-11-25,5.583,5.467,5.534,5.672,4.539
2011-12-02,5.538,5.464,5.526,5.664,4.551
2011-12-09,5.292,5.343,5.457,5.63,4.554
2011-12-16,5.228,5.299,5.423,5.609,4.561
2011-12-23,5.215,5.279,5.401,5.593,4.57
2011-12-30,5.184,5.25,5.374,5.574,4.577
2012-01-06,4.782,5.019,5.241,5.512,4.569
2012-01-13,4.535,4.841,5.127,5.454,4.562
2012-01-20,4.397,4.71,5.031,5.402,4.556
2012-02-03,4.414,4.663,4.976,5.364,4.555
2012-02-10,4.496,4.662,4.946,5.337,4.556
2012-02-17,4.684,4.735,4.956,5.326,4.563
2012-02-24,5.033,4.916,5.03,5.342,4.578
2012-03-02,5.415,5.145,5.14,5.375,4.6
2012-03-09,5.697,5.348,5.246,5.409,4.622
2012-03-16,5.898,5.521,5.347,5.444,4.644
2012-03-23,5.805,5.539,5.373,5.451,4.657
2012-03-30,5.63,5.492,5.364,5.444,4.665
2012-04-06,5.61,5.506,5.384,5.449,4.677
2012-04-13,5.58,5.509,5.397,5.452,4.688
2012-04-20,5.617,5.542,5.424,5.461,4.701
2012-04-26,5.451,5.465,5.395,5.448,4.707
2012-05-04,5.414,5.442,5.39,5.444,4.715
2012-05-11,5.313,5.382,5.364,5.431,4.721
2012-05-18,5.288,5.356,5.352,5.423,4.727
2012-05-25,5.169,5.279,5.312,5.404,4.73
2012-06-01,5.239,5.297,5.318,5.403,4.739
2012-06-08,5.26,5.298,5.316,5.399,4.746
2012-06-15,5.153,5.233,5.281,5.381,4.749
2012-06-21,5.085,5.181,5.249,5.364,4.751
2012-06-29,4.787,5.001,5.148,5.318,4.744
2012-07-06,4.875,5.01,5.139,5.307,4.748
2012-07-13,4.926,5.014,5.128,5.297,4.752
2012-07-20,4.774,4.915,5.066,5.264,4.748
2012-07-27,4.553,4.768,4.975,5.219,4.74
2012-08-03,4.635,4.774,4.958,5.202,4.74
2012-08-09,4.88,4.882,4.997,5.209,4.749
2012-08-24,5.253,5.086,5.093,5.24,4.765
2012-08-31,5.689,5.354,5.233,5.292,4.789
2012-09-07,6.036,5.604,5.375,5.348,4.815
2012-09-14,6.197,5.771,5.484,5.394,4.837
2012-09-21,6.238,5.87,5.564,5.43,4.857
2012-09-28,6.315,5.979,5.65,5.471,4.878
2012-10-12,6.48,6.13,5.761,5.524,4.904
2012-10-19,6.564,6.239,5.853,5.571,4.928
2012-10-26,6.459,6.241,5.891,5.598,4.946
2012-11-02,6.559,6.336,5.974,5.643,4.97
2012-11-09,6.563,6.378,6.03,5.68,4.991
2012-11-16,6.469,6.36,6.054,5.703,5.008
2012-11-23,6.352,6.317,6.06,5.719,5.023
2012-11-30,6.038,6.152,5.998,5.707,5.028
2012-12-07,5.996,6.108,5.99,5.715,5.039
2012-12-14,6.007,6.094,5.994,5.728,5.053
2012-12-21,6.101,6.129,6.022,5.75,5.069
2012-12-28,6.334,6.251,6.096,5.791,5.092
2013-01-04,6.409,6.307,6.14,5.821,5.111
2013-01-11,6.516,6.384,6.196,5.857,5.133
2013-01-18,6.664,6.489,6.269,5.9,5.157
2013-01-25,6.649,6.513,6.303,5.928,5.176
2013-02-01,6.663,6.545,6.339,5.958,5.196
2013-02-08,7.165,6.84,6.514,6.045,5.236
2013-02-22,7.36,7.006,6.632,6.112,5.269
2013-03-01,7.607,7.205,6.771,6.19,5.307
2013-03-08,7.711,7.335,6.881,6.258,5.341
2013-03-15,7.644,7.367,6.941,6.307,5.37
2013-03-22,7.769,7.485,7.044,6.374,5.405
2013-03-29,8.003,7.664,7.179,6.456,5.446
2013-04-03,8.089,7.773,7.282,6.527,5.483
2013-04-12,8.159,7.869,7.379,6.596,5.52
2013-04-19,8.346,8.023,7.507,6.68,5.563
2013-04-26,8.507,8.17,7.633,6.764,5.606
2013-05-03,8.648,8.308,7.756,6.849,5.65
2013-05-10,8.852,8.481,7.9,6.943,5.698
2013-05-17,8.995,8.627,8.031,7.035,5.745
2013-05-24,9.247,8.831,8.195,7.142,5.798
2013-05-31,9.841,9.231,8.465,7.294,5.868
2013-06-07,10.114,9.491,8.674,7.426,5.931
2013-06-14,10.566,9.85,8.94,7.585,6.004
2013-06-21,10.757,10.085,9.15,7.724,6.072
2013-06-28,10.878,10.273,9.337,7.857,6.139
2013-07-05,11.139,10.525,9.559,8.006,6.212
2013-07-12,11.619,10.899,9.846,8.186,6.297
2013-07-19,12.393,11.452,10.236,8.411,6.398
2013-07-26,13.259,12.095,10.689,8.669,6.512
2013-08-02,13.539,12.46,11.014,8.882,6.612
2013-08-09,13.386,12.572,11.211,9.047,6.698
2013-08-16,12.774,12.387,11.243,9.145,6.762
2013-08-23,12.446,12.278,11.295,9.249,6.829
2013-08-30,12.054,12.095,11.293,9.328,6.888
2013-09-06,12.046,12.083,11.363,9.434,6.956
2013-09-13,11.661,11.866,11.318,9.491,7.008
2013-09-18,11.424,11.7,11.283,9.548,7.06
2013-09-27,11.493,11.687,11.316,9.63,7.121
2013-09-30,11.505,11.658,11.336,9.704,7.179
2013-10-11,11.93,11.862,11.474,9.825,7.253
2013-10-18,11.73,11.766,11.46,9.884,7.307
2013-10-25,11.19,11.465,11.331,9.893,7.344
2013-11-01,10.897,11.255,11.234,9.909,7.384
2013-11-08,10.644,11.052,11.13,9.918,7.42
2013-11-15,10.623,10.966,11.078,9.944,7.462
2013-11-22,10.609,10.896,11.03,9.969,7.503
2013-11-29,10.842,10.971,11.057,10.022,7.554
2013-12-06,10.878,10.967,11.047,10.058,7.599
2013-12-13,11.226,11.141,11.13,10.131,7.656
2013-12-20,11.13,11.104,11.112,10.163,7.699
2013-12-27,11.224,11.16,11.14,10.212,7.749
2014-01-03,11.276,11.2,11.163,10.258,7.797
2014-01-10,11.17,11.156,11.144,10.285,7.839
2014-01-17,11.454,11.313,11.227,10.353,7.894
2014-01-24,11.709,11.478,11.322,10.426,7.951
2014-01-30,12.233,11.806,11.508,10.538,8.022
2014-02-07,12.642,12.106,11.694,10.653,8.094
2014-02-14,12.775,12.276,11.822,10.747,8.159
2014-02-21,13.016,12.499,11.982,10.855,8.23
2014-02-28,12.771,12.459,12.01,10.91,8.284
2014-03-07,12.574,12.408,12.027,10.96,8.335
2014-03-14,12.169,12.218,11.963,10.976,8.375
